Kod TERYT,Nazwa województwa,Rok zgonu,Miesiąc zgonu,Zgony kobiet Przedział wiekowy 0-64 lata,Zgony kobiet Przedział wiekowy 65 lat i więcej,Zgony mężczyn Przedział wiekowy 0-64 lata,Zgony mężczyzn Przedział wiekowy 65 lat i więcej
02,DOLNOŚLĄSKIE,2022,01,258,1692,550,1370
02,DOLNOŚLĄSKIE,2022,02,202,1440,416,1189
02,DOLNOŚLĄSKIE,2022,03,216,1382,429,1185
02,DOLNOŚLĄSKIE,2022,04,185,1241,429,1054
04,KUJAWSKO-POMORSKIE,2022,01,162,1047,387,929
04,KUJAWSKO-POMORSKIE,2022,02,130,935,307,779
04,KUJAWSKO-POMORSKIE,2022,03,154,975,273,806
04,KUJAWSKO-POMORSKIE,2022,04,120,870,290,646
06,LUBELSKIE,2022,01,149,1140,351,902
06,LUBELSKIE,2022,02,106,1056,303,834
06,LUBELSKIE,2022,03,102,981,304,830
06,LUBELSKIE,2022,04,122,914,293,729
08,LUBUSKIE,2022,01,83,474,194,418
08,LUBUSKIE,2022,02,67,432,149,372
08,LUBUSKIE,2022,03,73,452,172,370
08,LUBUSKIE,2022,04,72,403,146,367
10,ŁÓDZKIE,2022,01,207,1659,464,1269
10,ŁÓDZKIE,2022,02,170,1344,424,1070
10,ŁÓDZKIE,2022,03,187,1290,414,1074
10,ŁÓDZKIE,2022,04,191,1216,415,917
12,MAŁOPOLSKIE,2022,01,244,1745,532,1492
12,MAŁOPOLSKIE,2022,02,132,1565,465,1294
12,MAŁOPOLSKIE,2022,03,164,1418,480,1154
12,MAŁOPOLSKIE,2022,04,153,1287,393,1090
14,MAZOWIECKIE,2022,01,374,2820,977,2395
14,MAZOWIECKIE,2022,02,291,2590,719,2115
14,MAZOWIECKIE,2022,03,305,2533,820,1988
14,MAZOWIECKIE,2022,04,274,2217,732,1873
16,OPOLSKIE,2022,01,66,564,203,448
16,OPOLSKIE,2022,02,55,461,152,431
16,OPOLSKIE,2022,03,58,446,136,370
16,OPOLSKIE,2022,04,57,410,148,360
18,PODKARPACKIE,2022,01,142,1113,345,944
18,PODKARPACKIE,2022,02,90,951,310,789
18,PODKARPACKIE,2022,03,98,817,272,719
18,PODKARPACKIE,2022,04,94,717,259,623
20,PODLASKIE,2022,01,67,563,212,503
20,PODLASKIE,2022,02,74,560,180,476
20,PODLASKIE,2022,03,56,528,173,467
20,PODLASKIE,2022,04,52,448,162,397
22,POMORSKIE,2022,01,167,1183,392,1003
22,POMORSKIE,2022,02,148,994,289,897
22,POMORSKIE,2022,03,139,900,299,807
22,POMORSKIE,2022,04,135,899,314,762
24,ŚLĄSKIE,2022,01,406,2742,885,2212
24,ŚLĄSKIE,2022,02,321,2344,684,2047
24,ŚLĄSKIE,2022,03,324,2011,762,1737
24,ŚLĄSKIE,2022,04,295,1896,694,1668
26,ŚWIĘTOKRZYSKIE,2022,01,112,730,231,682
26,ŚWIĘTOKRZYSKIE,2022,02,78,661,202,613
26,ŚWIĘTOKRZYSKIE,2022,03,76,576,192,552
26,ŚWIĘTOKRZYSKIE,2022,04,72,543,203,439
28,WARMIŃSKO-MAZURSKIE,2022,01,131,737,243,586
28,WARMIŃSKO-MAZURSKIE,2022,02,81,607,200,536
28,WARMIŃSKO-MAZURSKIE,2022,03,82,561,228,580
28,WARMIŃSKO-MAZURSKIE,2022,04,88,554,213,511
30,WIELKOPOLSKIE,2022,01,244,1724,580,1456
30,WIELKOPOLSKIE,2022,02,224,1508,470,1299
30,WIELKOPOLSKIE,2022,03,215,1425,470,1304
30,WIELKOPOLSKIE,2022,04,198,1327,495,1119
32,ZACHODNIOPOMORSKIE,2022,01,136,919,363,778
32,ZACHODNIOPOMORSKIE,2022,02,111,741,231,626
32,ZACHODNIOPOMORSKIE,2022,03,99,750,258,689
32,ZACHODNIOPOMORSKIE,2022,04,115,673,250,597
02,DOLNOŚLĄSKIE,2021,01,219,1543,556,1412
02,DOLNOŚLĄSKIE,2021,02,182,1238,465,1126
02,DOLNOŚLĄSKIE,2021,03,288,1574,612,1461
02,DOLNOŚLĄSKIE,2021,04,325,1787,690,1696
02,DOLNOŚLĄSKIE,2021,05,234,1305,552,1184
02,DOLNOŚLĄSKIE,2021,06,198,1103,426,910
02,DOLNOŚLĄSKIE,2021,07,186,1107,415,948
02,DOLNOŚLĄSKIE,2021,08,187,1096,409,856
02,DOLNOŚLĄSKIE,2021,09,206,1113,438,927
02,DOLNOŚLĄSKIE,2021,10,212,1210,441,1010
02,DOLNOŚLĄSKIE,2021,11,207,1554,474,1277
02,DOLNOŚLĄSKIE,2021,12,316,2087,666,1688
04,KUJAWSKO-POMORSKIE,2021,01,173,1222,412,1220
04,KUJAWSKO-POMORSKIE,2021,02,168,970,317,842
04,KUJAWSKO-POMORSKIE,2021,03,168,1197,408,1038
04,KUJAWSKO-POMORSKIE,2021,04,216,1183,413,1114
04,KUJAWSKO-POMORSKIE,2021,05,157,899,352,803
04,KUJAWSKO-POMORSKIE,2021,06,147,704,330,615
04,KUJAWSKO-POMORSKIE,2021,07,132,785,309,633
04,KUJAWSKO-POMORSKIE,2021,08,139,727,299,649
04,KUJAWSKO-POMORSKIE,2021,09,119,762,272,611
04,KUJAWSKO-POMORSKIE,2021,10,138,803,320,717
04,KUJAWSKO-POMORSKIE,2021,11,178,1044,385,882
04,KUJAWSKO-POMORSKIE,2021,12,225,1310,461,1139
06,LUBELSKIE,2021,01,132,1171,398,1069
06,LUBELSKIE,2021,02,130,996,319,842
06,LUBELSKIE,2021,03,141,1141,369,1038
06,LUBELSKIE,2021,04,167,1183,402,1005
06,LUBELSKIE,2021,05,144,945,355,831
06,LUBELSKIE,2021,06,110,860,336,711
06,LUBELSKIE,2021,07,110,853,310,672
06,LUBELSKIE,2021,08,101,802,286,652
06,LUBELSKIE,2021,09,109,824,298,718
06,LUBELSKIE,2021,10,182,1225,426,1009
06,LUBELSKIE,2021,11,228,1799,508,1322
06,LUBELSKIE,2021,12,200,1454,430,1119
08,LUBUSKIE,2021,01,89,530,233,529
08,LUBUSKIE,2021,02,73,485,167,435
08,LUBUSKIE,2021,03,98,593,237,576
08,LUBUSKIE,2021,04,99,568,227,500
08,LUBUSKIE,2021,05,82,415,187,341
08,LUBUSKIE,2021,06,78,361,176,323
